Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
0 DM,6,2,6,1169,no savings,2,4,male:single,none,4,real estate,67,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,48,3,6,5951,< 100 DM,3,2,female:divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee,1,None,Yes,1
No checking account,12,2,3,2096,< 100 DM,4,2,male:single,none,3,real estate,49,none,own,1,unskilled/resident,2,None,Yes,0
0 DM,42,3,4,7882,< 100 DM,4,2,male:single,guarantor,4,building society savings agreement/ life insurance,45,none,free,1,skilled employee,2,None,Yes,0
0 DM,24,4,5,4870,< 100 DM,3,3,male:single,none,4,unknown/no property,53,none,free,2,skilled employee,2,None,Yes,1
No checking account,36,3,3,9055,no savings,3,2,male:single,none,4,unknown/no property,35,none,free,1,unskilled/resident,2,yes,Yes,0
No checking account,24,3,4,2835,500-1000 DM,2,3,male:single,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,36,3,9,6948,< 100 DM,3,2,male:single,none,2,car or other,35,none,rent,1,management/self employed,1,yes,Yes,0
No checking account,12,3,6,3059,>1000 DM,4,2,male:divorced/separated,none,4,real estate,61,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,30,2,5,5234,< 100 DM,5,4,male:married,none,2,car or other,28,none,own,2,management/self employed,1,None,Yes,1
0-200 DM,12,3,5,1295,< 100 DM,1,3,female:divorced/separated/married,none,1,car or other,25,none,rent,1,skilled employee,1,None,Yes,1
0 DM,48,3,1,4308,< 100 DM,1,3,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,rent,1,skilled employee,1,None,Yes,1
0-200 DM,12,3,6,1567,< 100 DM,3,1,female:divorced/separated/married,none,1,car or other,22,none,own,1,skilled employee,1,yes,Yes,0
0 DM,24,2,5,1199,< 100 DM,2,4,male:single,none,4,car or other,60,none,own,2,unskilled/resident,1,None,Yes,1
0 DM,15,3,5,1403,< 100 DM,3,2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee,1,None,Yes,0
0 DM,24,3,6,1282,100-500 DM,3,4,female:divorced/separated/married,none,2,car or other,32,none,own,1,unskilled/resident,1,None,Yes,1
No checking account,24,2,6,2424,no savings,2,4,male:single,none,4,building society savings agreement/ life insurance,53,none,own,2,skilled employee,1,None,Yes,0
0 DM,30,5,1,8072,no savings,1,2,male:single,none,3,car or other,25,bank,own,3,skilled employee,1,None,Yes,0
0-200 DM,24,3,9,12579,< 100 DM,2,4,female:divorced/separated/married,none,2,unknown/no property,44,none,free,1,management/self employed,1,yes,Yes,1
No checking account,24,3,6,3430,500-1000 DM,2,3,male:single,none,2,car or other,31,none,own,1,skilled employee,2,yes,Yes,0
No checking account,9,2,5,2134,< 100 DM,3,4,male:single,none,4,car or other,48,none,own,3,skilled employee,1,yes,Yes,0
0 DM,6,3,6,2647,500-1000 DM,3,2,male:single,none,3,real estate,44,none,rent,1,skilled employee,2,None,Yes,0
0 DM,10,2,5,2241,< 100 DM,1,1,male:single,none,3,real estate,48,none,rent,2,unskilled/resident,2,None,No,0
0-200 DM,12,2,9,1804,100-500 DM,1,3,male:single,none,4,building society savings agreement/ life insurance,44,none,own,1,skilled employee,1,None,Yes,0
No checking account,10,2,4,2069,no savings,3,2,male:married,none,1,car or other,26,none,own,2,skilled employee,1,None,No,0
0 DM,6,3,4,1374,< 100 DM,3,1,male:single,none,2,real estate,36,bank,own,1,unskilled/resident,1,yes,Yes,0
No checking account,6,5,6,426,< 100 DM,2,4,male:married,none,4,car or other,39,none,own,1,unskilled/resident,1,None,Yes,0
>200 DM,12,1,6,409,>1000 DM,3,3,female:divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee,1,None,Yes,0
0-200 DM,7,3,6,2415,< 100 DM,3,3,male:single,guarantor,2,real estate,34,none,own,1,skilled employee,1,None,Yes,0
0 DM,60,4,1,6836,< 100 DM,2,3,male:single,none,4,unknown/no property,63,none,own,2,skilled employee,1,yes,Yes,1
0-200 DM,18,3,1,1913,>1000 DM,1,3,male:married,none,3,real estate,36,bank,own,1,skilled employee,1,yes,Yes,0
0 DM,24,3,4,4020,< 100 DM,3,2,male:single,none,2,car or other,27,stores,own,1,skilled employee,1,None,Yes,0
0-200 DM,18,3,5,5866,100-500 DM,3,2,male:single,none,2,car or other,30,none,own,2,skilled employee,1,yes,Yes,0
